name;profession;ssn;homeAddress;gsmNumber;email;homePhone;scheduled;aircraftLicense
Siggi;Pilot;1214742314;2;3;a@g.is;4;['1010-11-10', '9999-11-11'],Boeing 737;
Tommy Lee;Head Pilot;12345678;noatun 8;5812345;tommy@lee.com;1245678;[], Boeing 737;
Agust;Pilot;2110032350;Sævangur 8;8522607;agustbirgirkarlsson@gmail.com;1234567;[],Airbus A330;
Joi;Head Flight Attendant;1090452944;Sævangur 8;5812345;agust@gmail.com;1234567;[],;
Jonas;Pilot;1908912675;2;3;a@g.is;123456;[],;
Helgi;Head Pilot;1881425342;noatun 8;5812345;tommy@lee.com;12345676;['1010-11-10', '9999-11-11'],;
Halli;Attendant;1047283940;Skaggaturn 12;5812345;Halli@gmail.com;8401640;[];
Sigurjon;Head Flight Attendant;9374061953;Sævangur 8;5812345;agust@gmail.com;1234567;[],;
Larus;Flight attendant;0110032350;Brekkugata 14;1284732;Larus@gmail.com;5558721;1245678;[],
bob;Head Pilot;1111111111;fa 5;12345678;f@f.com;;[];Boeing 737
Hildur;Flight Attendant;1928374650;Akurgerði 4, Reykjavík;7721234;hildur@gmail.com;7721234;[];Airbus A330
Björn;Head Pilot;2736458192;Hverfisgata 33, Reykjavík;6934567;bjorn@gmail.com;6934567;[];Boeing 737
Þóra;Pilot;5467812390;Laugavegur 78, Reykjavík;6107896;thora@gmail.com;6107896;[];Airbus A330
Arnar;Head Flight Attendant;3857649120;Bústaðavegur 8, Reykjavík;7654321;arnar@gmail.com;7654321;[];Boeing 737
Sigrún;Pilot;4738291645;Vesturgata 11, Reykjavík;6213748;sigrun@gmail.com;6213748;[];Airbus A330
Einar;Flight Attendant;6482915730;Skólavörðustígur 22, Reykjavík;7098123;einar@gmail.com;7098123;[];Boeing 737
Kristín;Head Pilot;1920465837;Klapparstígur 7, Reykjavík;7891234;kristin@gmail.com;7891234;[];Airbus A330
Gunnar;Pilot;8391642756;Þingholtsstræti 29, Reykjavík;6987456;gunnar@gmail.com;6987456;[];Boeing 737
Ragnheiður;Head Flight Attendant;5173829465;Njálsgata 14, Reykjavík;7246891;ragnheidur@gmail.com;7246891;[];Airbus A330
Ólafur;Flight Attendant;6718392450;Suðurgata 12, Reykjavík;6574829;olafur@gmail.com;6574829;[];Boeing 737
